x						y1						y2						y3						y4						y5						y6						y7						y8						y9						y10						y11						y12						y13						y14						y15						y16						y17						y18	
-6.500000000000000000e+01 2.645000000000000129e-02 2.545541922594112688e-02 2.744458077405887569e-02 2.167000000000000176e-02 2.076755606145070168e-02 2.257244393854929490e-02 2.614200000000000412e-01 2.586965696823377847e-01 2.641434303176621867e-01 2.230000000000000315e-01 2.204200515289632401e-01 2.255799484710367675e-01 9.220000000000000764e-03 8.627617572350540845e-03 9.812382427649460684e-03 9.000000000000001055e-03 8.414662736349623473e-03 9.585337263650375167e-03
-6.400000000000000000e+01 2.649000000000000313e-02 2.549468791179658467e-02 2.748531208820341465e-02 2.246000000000000080e-02 2.154162461343763976e-02 2.337837538656236183e-02 2.614200000000000412e-01 2.586965696823377847e-01 2.641434303176621867e-01 2.244500000000000106e-01 2.218640936240382222e-01 2.270359063759617990e-01 9.550000000000001196e-03 8.947209977773895942e-03 1.015279002222610298e-02 9.470000000000000986e-03 8.869715821067882325e-03 1.007028417893211618e-02
-6.300000000000000000e+01 2.658000000000000293e-02 2.558304464178940557e-02 2.757695535821059335e-02 2.340000000000000066e-02 2.246305439212095689e-02 2.433694560787904443e-02 2.614200000000000412e-01 2.586965696823377847e-01 2.641434303176621867e-01 2.261700000000000099e-01 2.235770844556047021e-01 2.287629155443953177e-01 9.980000000000001023e-03 9.363922503288726884e-03 1.059607749671127169e-02 1.019000000000000114e-02 9.567540497055255708e-03 1.081245950294474310e-02
-6.200000000000000000e+01 2.664000000000000049e-02 2.564195080477254737e-02 2.763804919522745360e-02 2.432000000000000134e-02 2.336526338676212997e-02 2.527473661323787271e-02 2.614299999999999957e-01 2.587065360310131790e-01 2.641534639689868125e-01 2.277200000000000057e-01 2.251208216998340506e-01 2.303191783001659609e-01 1.034000000000000023e-02 9.713023347075128502e-03 1.096697665292487196e-02 1.081000000000000016e-02 1.016908446769011244e-02 1.145091553230988789e-02
-6.100000000000000000e+01 2.671000000000000110e-02 2.571067634972998284e-02 2.770932365027001937e-02 2.532000000000000223e-02 2.434633183850693980e-02 2.629366816149305772e-02 2.614500000000000157e-01 2.587264687338428071e-01 2.641735312661572244e-01 2.293000000000000316e-01 2.266944896787848329e-01 2.319055103212151747e-01 1.077000000000000006e-02 1.013025841506094878e-02 1.140974158493905134e-02 1.138000000000000123e-02 1.072259361457466448e-02 1.203740638542533450e-02
-6.000000000000000000e+01 2.680000000000000090e-02 2.579904042533563355e-02 2.780095957466436826e-02 2.649000000000000313e-02 2.549468791179658467e-02 2.748531208820341465e-02 2.614700000000000357e-01 2.587464014439769810e-01 2.641935985560229794e-01 2.309000000000000219e-01 2.282881305649972770e-01 2.335118694350027113e-01 1.126000000000000091e-02 1.060602922866047543e-02 1.191397077133952292e-02 1.209000000000000179e-02 1.141263939880486980e-02 1.276736060119513030e-02
-5.900000000000000000e+01 2.708000000000000337e-02 2.607396987273407490e-02 2.808603012726592491e-02 2.778000000000000261e-02 2.676141685086821237e-02 2.879858314913178591e-02 2.614900000000000002e-01 2.587663341614152013e-01 2.642136658385847992e-01 2.325900000000000190e-01 2.299714713051760617e-01 2.352085286948239207e-01 1.176000000000000136e-02 1.109183616383433227e-02 1.242816383616566697e-02 1.285000000000000031e-02 1.215194244820502409e-02 1.354805755179497653e-02
-5.800000000000000000e+01 2.734000000000000319e-02 2.632928694764090360e-02 2.835071305235909583e-02 2.917000000000000148e-02 2.812699137525468199e-02 3.021300862474532098e-02 2.615200000000000302e-01 2.587962332512663832e-01 2.642437667487335662e-01 2.344200000000000172e-01 2.317943265572770528e-01 2.370456734427229262e-01 1.239000000000000171e-02 1.170439104164420346e-02 1.307560895835579648e-02 1.375000000000000180e-02 1.302823976989406912e-02 1.447176023010593102e-02
-5.700000000000000000e+01 2.771000000000000199e-02 2.669266435022372291e-02 2.872733564977627413e-02 3.070000000000000159e-02 2.963083093352176720e-02 3.176916906647823252e-02 2.615399999999999947e-01 2.588161659869623876e-01 2.642638340130376018e-01 2.358000000000000096e-01 2.331689838854605901e-01 2.384310161145394291e-01 1.293000000000000052e-02 1.222980125219489886e-02 1.363019874780510218e-02 1.454000000000000084e-02 1.379809244310847317e-02 1.528190755689152851e-02
-5.600000000000000000e+01 2.802000000000000324e-02 2.699715265816465815e-02 2.904284734183534139e-02 3.252000000000000030e-02 3.142062879546277110e-02 3.361937120453722949e-02 2.615600000000000147e-01 2.588360987299604954e-01 2.642839012700395340e-01 2.373500000000000332e-01 2.347130290445378076e-01 2.399869709554622033e-01 1.364000000000000108e-02 1.292109252029721191e-02 1.435890747970278679e-02 1.568000000000000296e-02 1.491000257128139057e-02 1.644999742871860668e-02
